,danceability,energy,loudness,acousticness,instrumentalness,valence,tempo,genre,like
0,3,4,4,0,1,1,191.977,4,1
0,1,2,3,0,0,2,98.096,6,1
0,3,3,4,0,0,1,112.991,5,1
0,3,2,2,4,1,1,113.521,11,1
0,4,2,3,2,1,3,140.026,10,1
0,0,1,3,3,0,0,123.924,6,1
0,3,2,2,0,1,4,89.761,8,1
0,2,1,3,2,1,3,142.213,10,1
0,3,2,3,1,0,1,94.254,10,1
0,3,0,0,4,0,0,102.778,10,1
0,2,4,4,0,1,4,128.986,10,1
0,4,3,4,0,0,4,116.0,11,1
0,2,2,4,0,0,2,95.189,5,1
0,3,4,3,0,1,3,126.312,11,1
0,2,1,3,3,0,1,70.024,11,1
0,1,2,3,0,0,1,93.919,4,1
0,3,2,2,3,1,3,87.046,8,1
0,2,4,4,0,0,3,163.967,9,1
0,3,3,4,2,0,2,104.904,5,1
0,2,3,4,2,0,2,101.876,10,1
0,2,4,4,0,0,3,164.103,9,1
0,3,0,1,4,1,4,90.326,10,1
0,2,3,3,0,1,4,152.726,10,1
0,3,4,4,1,0,3,102.098,10,1
0,3,1,3,3,0,2,80.935,9,1
0,2,2,2,1,0,3,83.506,8,1
0,3,0,1,4,1,3,99.784,10,1
0,2,1,3,2,0,2,103.379,10,1
0,1,1,2,3,0,0,144.799,6,1
0,3,4,3,0,1,4,110.048,10,1
0,3,3,4,0,1,3,75.625,10,1
0,2,3,4,2,1,2,115.027,5,1
0,3,2,3,2,0,4,77.1,9,1
0,2,4,4,4,0,2,103.963,5,1
0,0,2,2,4,1,0,137.038,6,1
0,3,0,2,4,0,0,115.904,11,1
0,2,1,3,2,0,1,127.3,6,1
0,2,2,2,3,0,2,107.248,10,1
0,2,1,2,4,1,0,98.138,10,1
0,3,2,3,4,0,3,94.994,10,1
0,2,4,4,0,0,1,122.994,5,1
0,3,3,3,0,0,2,110.035,10,1
0,1,3,4,0,0,2,90.315,9,1
0,3,1,3,2,0,1,93.335,10,1
0,2,3,4,0,0,4,87.729,9,1
0,4,0,3,2,0,1,86.05,10,1
0,4,1,1,0,0,4,95.229,10,1
0,2,2,3,3,0,2,129.341,10,1
0,4,2,3,0,0,4,95.306,10,1
0,0,1,3,3,0,0,72.64,6,1
0,3,1,2,3,0,4,147.002,8,1
0,3,3,4,3,0,1,97.221,8,1
0,3,3,3,2,0,3,91.011,11,1
