,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0.774,0.604,11,-9.719,0,0.132,0.0406,0.188,0.67,0.379,118.02,268126,4
0,0.452,0.47,10,-18.173,0,0.0352,0.391,0.893,0.1,0.817,122.617,204535,4
0,0.75,0.625,5,-10.592,0,0.139,0.412,0.235,0.0767,0.784,96.064,229467,4
0,0.841,0.848,11,-9.026,0,0.0486,0.234,0.715,0.117,0.78,114.981,303507,4
0,0.757,0.72,8,-11.484,1,0.044,0.221,0.929,0.153,0.905,116.37,328360,4
0,0.838,0.588,7,-9.938,1,0.154,0.0565,8.29e-06,0.0436,0.773,97.973,208920,4
0,0.787,0.69,5,-9.559,0,0.0617,0.25,0.68,0.0802,0.963,163.936,225147,4
0,0.829,0.913,1,-5.773,1,0.109,0.0263,0.0,0.211,0.801,98.026,235400,4
0,0.488,0.645,11,-7.226,1,0.421,0.0838,0.000355,0.154,0.595,148.733,217773,4
0,0.791,0.516,7,-12.015,1,0.077,0.742,0.914,0.0868,0.619,97.376,165452,4
0,0.577,0.388,1,-11.812,1,0.145,0.602,0.819,0.103,0.652,139.249,234737,4
0,0.762,0.403,11,-10.423,0,0.158,0.0396,0.0113,0.256,0.346,80.476,226133,4
0,0.357,0.257,0,-14.582,0,0.0361,0.705,0.00658,0.103,0.446,166.569,376546,5
0,0.808,0.451,1,-5.58,1,0.0469,0.00266,0.94,0.113,0.915,85.016,181235,4
0,0.372,0.0601,9,-15.803,0,0.0363,0.971,0.918,0.246,0.168,70.628,170120,4
0,0.418,0.306,3,-9.99,1,0.0279,0.543,0.0512,0.193,0.175,68.581,214342,4
0,0.594,0.186,5,-12.439,0,0.0369,0.823,0.55,0.107,0.296,141.646,186794,4
0,0.637,0.866,7,-3.979,0,0.0868,0.154,0.0,0.181,0.336,97.897,278000,4
0,0.601,0.759,8,-6.934,0,0.0557,0.101,0.0,0.213,0.581,97.501,176293,4
0,0.565,0.254,10,-14.137,0,0.0406,0.939,0.836,0.0833,0.0957,98.138,271947,3
0,0.731,0.267,0,-13.848,0,0.0362,0.643,0.00247,0.0822,0.583,81.765,248613,4
0,0.57,0.215,1,-20.257,0,0.0787,0.991,0.934,0.1,0.0391,72.603,132728,3
0,0.616,0.241,0,-16.523,1,0.07,0.696,0.847,0.182,0.628,91.994,544513,4
0,0.42,0.617,10,-8.517,0,0.0439,0.0892,0.456,0.0976,0.523,150.149,315199,4
0,0.683,0.249,10,-21.362,0,0.0511,0.245,0.0528,0.0711,0.799,82.476,93976,4
0,0.706,0.476,7,-11.061,0,0.0509,0.495,0.174,0.113,0.574,153.997,205714,4
0,0.566,0.366,0,-14.092,1,0.0338,0.165,0.719,0.221,0.272,88.863,157107,4
0,0.518,0.465,6,-9.405,0,0.0553,0.0217,0.748,0.138,0.513,157.445,266187,4
0,0.508,0.698,8,-9.45,1,0.0767,0.0207,0.846,0.0724,0.845,152.726,386587,4
0,0.749,0.501,0,-10.441,1,0.17,0.209,0.0973,0.304,0.4,89.965,348547,4
0,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034,219333,4
0,0.853,0.754,10,-7.158,0,0.259,0.335,6.21e-06,0.252,0.69,95.081,334467,4
0,0.737,0.89,4,-8.443,1,0.158,0.00556,0.00171,0.0801,0.809,105.848,262800,4
0,0.727,0.976,1,-0.519,1,0.337,0.0284,0.0,0.408,0.649,119.95,172000,4
0,0.712,0.859,1,-11.146,1,0.281,0.202,0.0,0.284,0.74,90.638,257333,4
0,0.711,0.83,1,-3.707,0,0.169,0.291,0.0,0.201,0.462,96.066,356467,4
0,0.719,0.571,6,-9.274,0,0.0513,0.016,0.363,0.0416,0.19,135.988,350194,4
0,0.726,0.216,1,-13.995,1,0.134,0.49,0.872,0.0881,0.505,80.023,187687,4
0,0.492,0.815,7,-5.499,0,0.0487,0.00643,2e-05,0.0875,0.812,171.379,291347,4
0,0.603,0.885,10,-5.67,0,0.432,0.0875,0.0,0.169,0.735,164.103,202225,4
0,0.733,0.647,10,-8.156,0,0.0591,0.000603,0.856,0.126,0.664,117.016,314811,4
0,0.806,0.313,5,-10.768,0,0.417,0.455,0.000261,0.205,0.24,77.051,316364,4
0,0.775,0.6,11,-6.524,0,0.059,0.326,0.103,0.104,0.947,97.674,46587,4
0,0.832,0.412,1,-9.541,1,0.0727,0.218,0.0362,0.117,0.485,99.994,166187,4
0,0.662,0.369,1,-10.997,1,0.153,0.611,0.203,0.106,0.689,74.248,309507,4
0,0.732,0.702,6,-6.366,1,0.0511,0.45,0.779,0.109,0.536,100.091,209554,4
0,0.575,0.564,10,-7.733,0,0.104,0.536,0.912,0.375,0.563,76.991,351093,4
0,0.421,0.571,7,-11.446,0,0.0624,0.0784,0.85,0.184,0.568,162.674,300000,5
0,0.808,0.987,0,-0.089,0,0.361,0.0248,0.0,0.17,0.653,103.013,178544,4
0,0.699,0.798,5,-10.442,0,0.0446,0.00244,0.849,0.191,0.835,110.048,289076,4
0,0.666,0.908,1,-7.508,1,0.0613,0.0189,0.787,0.152,0.804,101.06,300302,4
0,0.792,0.456,5,-11.279,0,0.0674,0.124,0.861,0.378,0.569,96.099,215743,4
0,0.706,0.641,7,-8.519,1,0.0716,0.125,0.784,0.113,0.703,94.986,241312,4
0,0.716,0.388,9,-6.331,0,0.034,0.22,0.868,0.0968,0.884,89.6,188883,4
0,0.723,0.801,4,-8.253,1,0.113,0.0978,0.827,0.386,0.918,87.95,62216,4
0,0.564,0.684,2,-7.412,0,0.253,0.102,0.000595,0.283,0.501,83.317,165983,4
0,0.244,0.896,6,-5.576,0,0.464,0.0614,2.83e-05,0.127,0.142,83.354,220507,4
0,0.847,0.46,9,-6.597,0,0.044,0.394,0.801,0.0956,0.357,123.967,224093,4
0,0.576,0.15,5,-19.895,0,0.0565,0.929,0.488,0.172,0.501,137.101,275000,4
0,0.578,0.763,2,-5.886,0,0.089,0.436,0.164,0.175,0.637,108.46,421467,4
0,0.506,0.617,10,-9.956,0,0.052,0.493,0.0242,0.642,0.607,126.029,346040,4
0,0.803,0.205,0,-9.862,0,0.114,0.475,0.0446,0.109,0.332,86.05,150698,4
0,0.647,0.594,8,-6.854,0,0.123,0.123,0.902,0.0984,0.655,75.625,159228,4
0,0.363,0.939,9,-3.721,0,0.0409,0.000986,0.0718,0.115,0.732,141.643,229293,4
0,0.783,0.719,0,-4.454,1,0.054,0.0104,0.874,0.0797,0.932,120.131,133160,4
0,0.488,0.398,9,-11.997,0,0.0283,0.507,0.911,0.103,0.64,142.213,434440,4
0,0.264,0.479,10,-10.956,0,0.0439,0.763,0.884,0.198,0.449,172.619,181133,3
0,0.345,0.33,9,-17.417,0,0.0299,0.643,0.127,0.204,0.419,100.398,282573,4
0,0.616,0.51,10,-10.631,0,0.0534,0.526,0.566,0.0641,0.685,88.039,396147,4
0,0.459,0.638,1,-9.809,1,0.0327,0.225,0.0407,0.321,0.844,108.557,189347,4
0,0.46,0.685,8,-7.92,0,0.12,0.0791,0.00124,0.0999,0.552,144.705,350136,3
0,0.43,0.685,6,-9.699,1,0.0949,0.134,0.851,0.112,0.396,83.177,216980,4
0,0.609,0.415,7,-11.986,1,0.0435,0.227,0.0672,0.136,0.442,127.972,483840,4
0,0.816,0.762,7,-3.505,1,0.0359,0.185,0.00235,0.0806,0.708,118.705,332227,4
0,0.44,0.675,8,-5.879,1,0.186,0.593,7.43e-05,0.471,0.355,75.516,275283,4
0,0.807,0.584,10,-10.12,0,0.0499,0.00432,0.811,0.0891,0.736,132.077,355493,4
0,0.773,0.668,6,-5.007,0,0.37,0.5,0.0,0.118,0.674,177.669,163480,4
0,0.685,0.353,0,-11.242,1,0.0629,0.319,0.881,0.108,0.535,97.423,322042,4
0,0.88,0.22,1,-11.51,0,0.471,0.571,0.0437,0.125,0.812,94.112,223027,4
0,0.636,0.936,9,-4.445,0,0.354,0.071,0.876,0.0668,0.157,83.994,360294,4
0,0.582,0.394,8,-14.252,1,0.0554,0.46,2.37e-05,0.15,0.719,98.367,408640,4
0,0.744,0.414,5,-9.641,0,0.0814,0.0964,0.714,0.0634,0.843,164.134,128781,4
0,0.736,0.554,1,-9.836,1,0.0468,0.0373,0.865,0.269,0.787,130.083,452545,4
0,0.695,0.643,1,-7.968,1,0.377,0.0454,0.0,0.525,0.371,94.895,263200,4
